node_a,relation_a_to_b,node_b,relation_b_to_a
nghiên cứu,tập trung vào,dao động phi tuyến,được nghiên cứu bằng
nghiên cứu,được gắn kết chặt chẽ với,đào tạo,kết hợp với
nghiên cứu,được thực hiện bởi,Trường Đại học Công nghệ,hợp tác trong
Việt Nam,có mối liên hệ kinh tế với,Hàn Quốc,tương đồng với
Việt Nam,đăng cai,Kỳ thi Lập trình sinh viên quốc tế,được tổ chức tại
Việt Nam,có sự hội nhập kinh tế quốc tế,hội nhập kinh tế quốc tế,được thực hiện bởi
Việt Nam,đăng cai,Kỳ thi Lập trình sinh viên quốc tế ICPC Châu Á – Thái Bình Dương năm 2024,do
Việt Nam,hỗ trợ quản lý,chất lượng không khí,được quản lý tại
Việt Nam,có,sinh viên,từ
Nhật Bản,diễn ra tại,Đại học Nữ sinh Fukuoka,thuộc
Nhật Bản,có,Đại học Kansai,thuộc
Nhật Bản,có,mùa Xuân năm 2025,diễn ra ở
Nhật Bản,tại,Đại học Kyushu,thuộc
Nhật Bản,là nơi diễn ra,chương trình trao đổi sinh viên,liên quan tới
Nhật Bản,có,Đại học Kanazawa,ở
Nhật Bản,nơi diễn ra,Chương trình học bổng Toshiba,diễn ra tại
Nhật Bản,diễn ra tại,Đại học Waseda,ở
Nhật Bản,trao đổi tại,sinh viên,khởi nghiệp thành công ở
ngành Kỹ thuật năng lượng,hướng tới,tương lai bền vững,được nhắm tới bởi
Trường Đại học Công nghệ,thuộc,Đại học Quốc gia Hà Nội,liên quan đến
Trường Đại học Công nghệ,có mã trường,QHI,là mã của
Trường Đại học Công nghệ,thuộc,ĐHQGHN,có trường thành viên
Trường Đại học Công nghệ,đào tạo,Khoa học máy tính,thuộc
Trường Đại học Công nghệ,đào tạo,Hệ thống thông tin,được triển khai tại
Trường Đại học Công nghệ,phát triển dựa trên,Khoa Công nghệ,được tổ chức lại thành
Trường Đại học Công nghệ,được gắn,tuyển sinh,dành cho
Trường Đại học Công nghệ,có,Quy chế tạm thời về tổ chức và hoạt động,thuộc
Trường Đại học Công nghệ,tổ chức,Hội thảo quốc tế ICMAEE 2024,thuộc
Trường Đại học Công nghệ,đã tốt nghiệp,sinh viên,được thu hút bởi
Trường Đại học Công nghệ,tổ chức,Đại hội Đảng bộ Trường Đại học Công nghệ lần thứ IV,diễn ra tại
Trường Đại học Công nghệ,ra mắt,Khoa Công nghệ nông nghiệp,thuộc
Trường Đại học Công nghệ,được nhắc đến như,VNU-UET,là cơ sở của
Trường Đại học Công nghệ,có,Hội đồng Giáo sư cơ sở,thuộc
Trường Đại học Công nghệ,tổ chức,Hội đồng Giáo sư,tổ chức tại
Trường Đại học Công nghệ,có,Hiệu trưởng,thuộc về
Trường Đại học Công nghệ,được tổ chức theo,Quyết định số 92/2004/QĐ-TTg,đánh dấu sự ra đời của
Trường Đại học Công nghệ,ban hành,Công văn số 294/ĐT,của
Trường Đại học Công nghệ,ký kết,thỏa thuận hợp tác,giữa
Trường Đại học Công nghệ,có đơn vị,khoa Công nghệ thông tin,thuộc
Trường Đại học Công nghệ,hợp tác với,Đại học Công nghệ Sydney,sang làm việc với
Trường Đại học Công nghệ,tổ chức,Hội nghị sinh viên nghiên cứu khoa học,diễn ra tại
Trường Đại học Công nghệ,là đơn vị tổ chức,Lễ khai giảng,tổ chức bởi
Trường Đại học Công nghệ,có Hiệu trưởng,Chử Đức Trình,là Hiệu trưởng
Trường Đại học Công nghệ,có phòng,Phòng Đào tạo,thuộc
Trường Đại học Công nghệ,tham gia,Lễ ký kết hợp tác,diễn ra giữa
Trường Đại học Công nghệ,có tên viết tắt,UET,được gắn với
Trường Đại học Công nghệ,tham gia hợp tác thông qua,Thỏa thuận hợp tác chiến lược,được ký kết bởi
Trường Đại học Công nghệ,liên quan đến,25 năm ngày truyền thống,liên quan đến
Trường Đại học Công nghệ,thuộc,ĐHQGHN (VNU-UET),có
Trường Đại học Công nghệ,phối hợp,Văn phòng đại diện Phòng Giáo dục Hàn Quốc ở nước ngoài tại Việt Nam,phối hợp
Trường Đại học Công nghệ,có đại diện,GS.TS Chử Đức Trình,là Hiệu trưởng
Trường Đại học Công nghệ,có đại diện,TS. Nguyễn Thu Hương,là Phó Hiệu trưởng
Trường Đại học Công nghệ,có đại diện,GS.TS. Nguyễn Thanh Thủy,là Phó Hiệu trưởng
Trường Đại học Công nghệ,nhận bằng,bằng độc quyền giải pháp hữu ích,được cấp cho
Trường Đại học Công nghệ,đăng cai,Hội thảo quốc tế,diễn ra tại
Trường Đại học Công nghệ,tham gia,chương trình đào tạo liên kết quốc tế,giữa
Trường Đại học Công nghệ,đào tạo,Phạm Hồng Công,thuộc
Trường Đại học Công nghệ,có Chủ tịch Hội đồng là,Giáo sư Nguyễn Đình Đức,công tác tại
Trường Đại học Công nghệ,tổ chức,Lễ bế mạc đánh giá ngoài,diễn ra tại
Trường Đại học Công nghệ,diễn ra tại,Trường Đại học Công nghệ,diễn ra tại
Trường Đại học Công nghệ,có,Hội đồng xử lý học vụ năm học 2021-2022,thuộc
Trường Đại học Công nghệ,hợp tác trong,nghiên cứu,được thực hiện bởi
Trường Đại học Công nghệ,nhận hỗ trợ về,chương trình đào tạo,địa điểm đào tạo
Trường Đại học Công nghệ,hợp tác với,Trường Đại học Công nghệ Chiba,tham quan
Trường Đại học Công nghệ,cấp,học bổng,tại
Trường Đại học Công nghệ,tham gia,chương trình giao lưu quốc tế,tại
Trường Đại học Công nghệ,ký kết hợp tác với,Trung tâm khảo thí ĐHQGHN,ký kết văn bản hợp tác với
Trường Đại học Công nghệ,có tham dự,GS.TSKH Nguyễn Đình Đức,tham dự cùng
Trường Đại học Công nghệ,nhận giấy chứng nhận,kiểm định chất lượng giáo dục,được áp dụng tại
Trường Đại học Công nghệ,triệu tập,người học,thuộc
Trường Đại học Công nghệ,theo yêu cầu của,Đoàn đánh giá ngoài,tổng kết về
Trường Đại học Công nghệ,tổ chức,"Hội thảo quốc tế lần thứ ba về Năng lượng, Cơ sở Hạ tầng và Môi trường",được tổ chức bởi
Trường Đại học Công nghệ,được giới thiệu tại,Ngày hội Tư vấn Tuyển sinh – Hướng nghiệp 2024,diễn ra tại
Trường Đại học Công nghệ,có,Khoa Cơ học kỹ thuật và tự động hóa,thuộc
Trường Đại học Công nghệ,tổ chức,lễ ký kết hợp tác,giữa
Trường Đại học Công nghệ,đăng cai,Hội thảo quốc tế về tích hợp hệ thống SII-2024,được tổ chức bởi
Trường Đại học Công nghệ,tổ chức,hội thảo,phối hợp
Trường Đại học Công nghệ,là nơi tổ chức,Asian Pacific Championship 2024,được tổ chức tại
Trường Đại học Công nghệ,là nơi lựa chọn học tập của,Olympic Tin học Quốc tế 2020,lựa chọn học tập tại
Trường Đại học Công nghệ,liên quan đến,ĐHQGHN (Video),liên quan đến
Trường Đại học Công nghệ,tổ chức,hội thảo Đào tạo và nghiên cứu về Kỹ thuật Robot phối hợp,hợp tác giữa
Trường Đại học Công nghệ,có sự tham gia của,TS. Nguyễn Anh Thái,là Phó Hiệu trưởng
Trường Đại học Công nghệ,có,Phòng Thí nghiệm Vật liệu và Kết cấu tiên tiến,thuộc
Trường Đại học Công nghệ,đăng cai tổ chức,Ngày hội hiến máu “Sắc màu hy vọng”,diễn ra tại
Trường Đại học Công nghệ,theo tiêu chuẩn,Bộ Giáo dục và Đào tạo,giao nhiệm vụ cho
Trường Đại học Công nghệ,có,sinh viên đại học hệ chính quy,thuộc
Trường Đại học Công nghệ,tổ chức,Lễ khai giảng năm học 2019-2020,diễn ra tại
Trường Đại học Công nghệ,có cơ sở,Phòng 212-E3,thuộc
Trường Đại học Công nghệ,tổ chức,Hội thảo khoa học dành cho nghiên cứu sinh năm 2019,được tổ chức
Trường Đại học Công nghệ,triển khai,phun khử trùng lần 2,được thực hiện tại
Trường Đại học Công nghệ,có,Khoa Vật lý kỹ thuật và Công nghệ nano,thuộc
Trường Đại học Công nghệ,tổ chức,Lễ bảo vệ luận án,diễn ra tại
Trường Đại học Công nghệ,tổ chức,Lễ bảo vệ đồ án/khóa luận tốt nghiệp,được tổ chức bởi
Trường Đại học Công nghệ,có thông tin học bổng dành cho,Sinh viên,đỗ vào
Trường Đại học Công nghệ,tổ chức,Chương trình đào tạo Công nghệ thông tin,thuộc
Trường Đại học Công nghệ,có hiệu trưởng là,PGS.TS. Nguyễn Việt Hà,thuộc
Trường Đại học Công nghệ,có bài viết,Hợp tác phát triển,thuộc
Trường Đại học Công nghệ,ở,Nhà E3,nằm trong
Trường Đại học Công nghệ,có,PGS.TS. Chử Đức Trình,thuộc về
Trường Đại học Công nghệ,có,02 đề tài dự án,được thực hiện bởi
Trường Đại học Công nghệ,phối hợp với,VinTech City,phối hợp
Trường Đại học Công nghệ,trang trọng tổ chức,Ngày hội kết nối Công nghệ – UET Connect 2018,được tổ chức
Trường Đại học Công nghệ,có khoa,Khoa Điện tử viễn thông,thuộc
Trường Đại học Công nghệ,liên quan đến,Viện Tiên tiến về kỹ thuật và công nghệ,thuộc
Trường Đại học Công nghệ,gửi thông báo cho,Đại học chính quy,thuộc
Trường Đại học Công nghệ,có,Khoa Điện tử-Viễn thông,thuộc
Trường Đại học Công nghệ,có,Hội đồng tuyển sinh,thuộc
Trường Đại học Công nghệ,đào tạo,cử nhân hệ thống thông tin,được đào tạo bởi
Trường Đại học Công nghệ,có,Chủ nhiệm Khoa Điện tử-Viễn thông,thuộc
Trường Đại học Công nghệ,hợp tác với,Bộ quốc phòng,hợp tác với
Trường Đại học Công nghệ,phối hợp với,Trường Đại học Chiba,phối hợp với
hướng đi chiến lược,cho,tương lai bền vững,được định hướng bởi
hướng đi chiến lược,thuộc về,Ngành Kỹ thuật năng lượng,có
tương lai bền vững,gắn với,Kỹ thuật năng lượng,hướng đến
tương lai bền vững,được định hướng bởi,Ngành Kỹ thuật năng lượng,định hướng
tương lai bền vững,đòi hỏi,Hướng đi chiến lược,hướng tới
tương lai bền vững,được nhắm tới bởi,ngành Kỹ thuật năng lượng,hướng tới
tương lai bền vững,được định hướng bởi,Hướng đi chiến lược cho Kỹ thuật năng lượng,nhằm tới
tương lai bền vững,được định hướng bởi,hướng đi chiến lược,cho
tương lai bền vững,liên quan đến,Môi trường,gắn với
Hướng đi chiến lược cho tương lai bền vững,thuộc về,Ngành Kỹ thuật năng lượng,theo
hướng đi chiến lược cho tương lai bền vững,được theo đuổi bởi,Ngành Kỹ thuật năng lượng,được định hướng là
Đại học Quốc gia Hà Nội,ban hành,Quyết định số 3568/QĐ-ĐHQGHN,do ban hành bởi
Đại học Quốc gia Hà Nội,liên quan đến,Trường Đại học Công nghệ,thuộc
Đại học Quốc gia Hà Nội,có viết tắt,ĐHQGHN,viết tắt của
Đại học Quốc gia Hà Nội,tham dự,PGS.TS. Phạm Bảo Sơn,là Phó Giám đốc
Đại học Quốc gia Hà Nội,thông báo cho,Sinh viên Trường Đại học Công nghệ,thuộc
Đại học Quốc gia Hà Nội,cấp sự đồng ý cho,"Hội thảo quốc tế lần thứ ba về Năng lượng, Cơ sở Hạ tầng và Môi trường",được đồng ý bởi
Đại học Quốc gia Hà Nội,không chấp nhận,chứng chỉ thi online,không được chấp nhận bởi
Đại học Quốc gia Hà Nội,ký biên bản ghi nhớ với,Tập đoàn Toshiba,ký kết Biên bản ghi nhớ với
Đại học Quốc gia Hà Nội,phối hợp với,Quỹ học bổng POSCO TJ Park,phối hợp tổ chức với
Đại học Quốc gia Hà Nội,phát hành,công văn số 245/ĐHQGHN-CT&CTHSSV,do
Đại học Quốc gia Hà Nội,tham gia theo công văn,Chương trình trao đổi sinh viên,được thông báo bởi
Đại học Quốc gia Hà Nội,tổ chức,Lễ trao học bổng Annex,được tổ chức bởi
Đại học Quốc gia Hà Nội,thuộc,Trường Đại học Ngoại ngữ,thuộc
Đại học Quốc gia Hà Nội,ban hành văn bản,Quyết định 2150/ĐHQGHN-CT&CTHSSV,ban hành
Đại học Quốc gia Hà Nội,phát hành,Công văn,thuộc về
Đại học Quốc gia Hà Nội,có Giám đốc là,Giám đốc Đại học Quốc gia Hà Nội,thuộc
Đại học Quốc gia Hà Nội,giao nhiệm vụ,đơn vị đào tạo,phải báo cáo
Đại học Quốc gia Hà Nội,ban hành,Quy chế đào tạo đại học,thuộc
Đại học Quốc gia Hà Nội,ban hành,Quy chế đào tạo sau đại học,thuộc
QHI,là mã của,Trường Đại học Công nghệ,có mã trường
ĐHQGHN,giao cho,Nhà trường,được giao nhiệm vụ
ĐHQGHN,có tham dự,GS.TSKH Nguyễn Đình Đức,hỗ trợ cùng
ĐHQGHN,thực hiện,đào tạo nguồn nhân lực chất lượng cao,là hướng đi trọng điểm
ĐHQGHN,có,Quy chế đào tạo đại học,tại
ĐHQGHN,yêu cầu,công khai tình hình khảo sát việc làm,theo yêu cầu của
ĐHQGHN,viết tắt của,Đại học Quốc gia Hà Nội,có viết tắt
ĐHQGHN,thông báo,Chương trình học bổng Toshiba,tổ chức cho
ĐHQGHN,có trường thành viên,Trường Đại học Công nghệ,thuộc
ĐHQGHN,trao,Bằng khen,do
ĐHQGHN,có,Trường ĐH Công nghệ,thuộc
ĐHQGHN,thực hiện,NQ 29,thuộc về
ĐHQGHN,có bài viết về,Khoa Công nghệ Nông nghiệp,thuộc
ĐHQGHN,có trường,Trường ĐH Khoa học Tự nhiên,thuộc
ĐHQGHN,liên quan,Trường Đại học Ngoại ngữ,thuộc
ĐHQGHN,quy định,các đơn vị thành viên,thuộc
ĐHQGHN,quy định,các đơn vị trực thuộc,thuộc
ĐHQGHN,tham dự,GS.TSKH. Nguyễn Đình Đức,thuộc
ĐHQGHN,tham dự,PGS.TS. Nguyễn Anh Tuấn,tham dự buổi làm việc của
ĐHQGHN,tăng ở,Quốc tế hóa,là nhóm tiêu chí có điểm cao nhất của
ĐHQGHN,tổ chức,cuộc thi đổi mới sáng tạo,do
ĐHQGHN,phát triển,công nghệ,không có
ĐHQGHN,có trụ cột,Y – Dược,hỗ trợ
ĐHQGHN,tiếp nhận,sinh viên,đóng góp cho
ĐHQGHN,có,Phòng Đào tạo,thuộc
ĐHQGHN,được Cổng thanh toán trực tuyến iPrice ghi nhận,hoạt động đào tạo,diễn ra tại
ĐHQGHN,được nhắc đến trong,Công văn số 1513/ĐHQGHN-CTHSSV,được ban hành bởi
ĐHQGHN,được giới thiệu tại buổi làm việc,Giám đốc Nguyễn Kim Sơn,giới thiệu
ĐHQGHN,tổ chức,"Hội nghị Khoa học, Công nghệ và Đổi mới sáng tạo năm 2022",diễn ra
ĐHQGHN,có,phần mềm tuyển sinh sau đại học,thuộc
ĐHQGHN,có đại diện,Phó Giám đốc Phạm Bảo Sơn,thuộc
ĐHQGHN,có,NCS khóa QH-2018,thuộc
ĐHQGHN,tạo ra nguồn nhân lực,Samsung,hợp tác với
ĐHQGHN,đã ra mắt,Viện SAE,được ra mắt cùng
ĐHQGHN,được Phó Giám đốc đại diện bởi,PGS.TS Phạm Bảo Sơn,là Phó Giám đốc
ĐHQGHN,xác định,phát hiện và bồi dưỡng nhân tài,là hướng đi trọng tâm
ĐHQGHN,ưu tiên coi,Trường ĐHCN,thuộc
ĐHQGHN,có,Trưởng ban Đào tạo,thuộc
ĐHQGHN,có,Trung tâm Kiểm định chất lượng giáo dục,thuộc
ĐHQGHN,phối hợp tổ chức,Chương trình trao học bổng đợt 1,được tổ chức
ĐHQGHN,ban hành Quy định,xét tuyển thẳng,theo cơ chế đặc thù
đào tạo sau đại học,thuộc,hợp tác quốc tế,trong lĩnh vực
Khoa học máy tính,là,ngành,có chuyên ngành đào tạo
Khoa học máy tính,là tên tiếng Việt của,Computer Science,là tên tiếng Anh của
Khoa học máy tính,là chương trình đào tạo ngành,Chương trình đào tạo ngành Khoa học máy tính,thuộc
Khoa học máy tính,thuộc,Chương trình đào tạo,thuộc ngành
Khoa học máy tính,có thí sinh,Lê Năng Đức,đăng ký chuyên ngành
Khoa học máy tính,thuộc,Trường Đại học Công nghệ,đào tạo
Khoa học máy tính,thuộc,chương trình đào tạo chất lượng cao,thuộc ngành
Khoa học máy tính,thuộc,Khoa Công nghệ thông tin,tham gia đào tạo
Khoa học máy tính,thuộc khoa,Khoa Công nghệ Thông tin,cung cấp chuyên ngành
Khoa học máy tính,mã,CN8,ứng với
Hệ thống thông tin,được học tại,UET,đào tạo
Hệ thống thông tin,thuộc,CN14,ứng với
Hệ thống thông tin,thuộc,Chương trình đào tạo,thuộc ngành
Hệ thống thông tin,được triển khai tại,Trường Đại học Công nghệ,đào tạo
Kỹ thuật phần mềm,có thí sinh,Trần Huy Hoàng,đăng ký chuyên ngành
Mạng máy tính và truyền thông dữ liệu,có thí sinh,Đinh Trọng Hiếu,đăng ký chuyên ngành
Mạng máy tính và truyền thông dữ liệu,mã,CN15,ứng với
Kỹ thuật điện tử,có thí sinh,Đỗ Tuấn Anh,đăng ký chuyên ngành
Kỹ thuật điện tử,có thí sinh,Đặng Văn Hiếu,đăng ký chuyên ngành
Kỹ thuật điện tử,có thí sinh,Phạm Quang Hùng,thuộc
Cơ kỹ thuật,có mã xét tuyển,CN4,ứng với
Kỹ thuật cơ điện tử,tên chuyên ngành,Kỹ thuật cơ điện tử,tên chuyên ngành
Vật liệu và linh kiện nano,là chương trình đào tạo ngành,Chương trình đào tạo ngành Vật liệu và linh kiện nano,thuộc
Vật liệu và linh kiện nano,thuộc,Chương trình đào tạo,thuộc ngành
Khoa Công nghệ,được tổ chức lại thành,Trường Đại học Công nghệ,phát triển dựa trên
Khoa Công nghệ,trở thành,Trường ĐHCN,được thành lập trên cơ sở tổ chức lại
Khoa Công nghệ,có nhân sự,GS. Kazuhiro Takanabe,thuộc
Khoa Công nghệ,được tách thành,hai ngành,thuộc
chuẩn mực quốc tế,được tiếp cận bởi,giáo dục của Việt Nam,đổi mới
tuyển sinh,dành cho,Trường Đại học Công nghệ,được gắn
Quy chế tạm thời về tổ chức và hoạt động,thuộc,Trường Đại học Công nghệ,có
hoàn trả học phí,liên quan đến,người học,nhận
hoàn trả học phí,áp dụng cho,sinh viên chương trình Chất lượng cao,được hoàn trả học phí
hoàn trả học phí,được thực hiện theo,Thông tư 23/2014/TT-BGDĐT,quy định
hoàn trả học phí,được thực hiện cho,sinh viên thuộc chương trình Chất lượng cao,được
hoàn trả học phí,áp dụng khi,tốt nghiệp đợt tháng 6 năm 2024,liên quan đến
Hội thảo quốc tế ICMAEE 2024,thuộc lĩnh vực,Kỹ thuật Cơ Điện tử,được nêu trong
Hội thảo quốc tế ICMAEE 2024,thuộc lĩnh vực,Hệ thống tự động,được nêu trong
Hội thảo quốc tế ICMAEE 2024,thuộc lĩnh vực,Môi trường,được nêu trong
Hội thảo quốc tế ICMAEE 2024,thuộc,Trường Đại học Công nghệ,tổ chức
Hội thảo quốc tế ICMAEE 2024,năm tổ chức,Năm 2024,diễn ra
Hội thảo quốc tế ICMAEE 2024,được nhắc đến trong,bài viết,liên quan đến
sinh viên,được tuyên truyền đảm bảo,trật tự an toàn giao thông,được đảm bảo
sinh viên,được vận động đảm bảo,trật tự công cộng,được đảm bảo bởi
sinh viên,được thu hút bởi,Trường Đại học Công nghệ,đã tốt nghiệp
sinh viên,được đánh giá theo,điểm rèn luyện,dành cho
sinh viên,có,điểm rèn luyện toàn khóa,của
sinh viên,cần nhận thức,thông điệp,được lan tỏa bởi
sinh viên,lên nhập thông tin,thủ tục nhập học,được hoàn tất
sinh viên,đóng,học phí,không nộp
sinh viên,nộp,hồ sơ,được nộp bởi
sinh viên,có nguyện vọng tham gia,chương trình,tạo cơ hội cho
sinh viên,học tại,cơ sở giáo dục đại học ngoài công lập,là nơi học của
sinh viên,nhận,học bổng,hỗ trợ
sinh viên,nhận học bổng bằng,khóa học,phục vụ
sinh viên,thuộc,chương trình đào tạo chuẩn,là loại
sinh viên,thuộc,cơ sở giáo dục đại học,là nơi học của
sinh viên,thuộc,nhà trường,thông báo
sinh viên,cần quan tâm,thông tin cá nhân,liên quan đến
sinh viên,được công nhận tốt nghiệp trong,Quyết định công nhận tốt nghiệp,bao gồm
sinh viên,được giới thiệu nhận,học bổng PonyChung,liên quan đến
sinh viên,bao gồm,QH-2020,thuộc
sinh viên,được vận động,đảm bảo trật tự an toàn giao thông,được phối hợp tuyên truyền
